Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,Authenticity check: QID104,Authenticity check: QID106,Authenticity check: QID124,Authenticity check: QID125,Authenticity check: QID126,Authenticity check: QID127,Authenticity check: QID128,Authenticity check: QID130,Authenticity check: QID137,Authenticity check: QID138,Authenticity check: QID139,Authenticity check: QID140,Authenticity check: QID141,Authenticity check: QID5,Authenticity check: QID6,Authenticity check: QID93,Authenticity check: QID97,Authenticity check: QID99
693c5bae7842a6e2c8fb8161,67e0658ecffaf739c0e39dc6,APPROVED,Not Applicable,2025-12-12T18:15:17.701000Z,2025-12-12T18:32:07.266000Z,2025-12-13T10:56:16.755000Z,2025-12-12T18:32:07.630712Z,1010.0,CCPXUCJH,1224,40,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,N/A,Pass,Pass,Pass
693c5c37510b1a6a60dacdf0,65c10da7fa8fd299fde6c305,APPROVED,Not Applicable,2025-12-12T18:17:31.785000Z,2025-12-12T18:29:29.892000Z,2025-12-13T10:56:17.137000Z,2025-12-12T18:29:30.292795Z,719.0,CCPXUCJH,165,35,Female,Black,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",Pass,Pass,N/A,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,N/A,Pass,N/A,Pass,Pass,Pass
693c5cd411f5235e70a80690,65da8418470cd3b65bb2a415,APPROVED,Not Applicable,2025-12-12T18:20:20.716000Z,2025-12-12T18:32:33.522000Z,2025-12-13T10:56:17.555000Z,2025-12-12T18:32:33.901011Z,733.0,CCPXUCJH,1075,60,Female,White,United States,United States,United States,English,No,Full-Time,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,N/A,Pass,Pass,Pass
693c5cd50f44cb4ad453a0d2,67139f381fe62245c51da796,APPROVED,Not Applicable,2025-12-12T18:20:11.454000Z,2025-12-12T18:35:43.727000Z,2025-12-13T10:56:17.975000Z,2025-12-12T18:35:44.068181Z,933.0,CCPXUCJH,813,56,Male,Black,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",N/A,N/A,N/A,N/A,Pass,Pass,N/A,N/A,Pass,Pass,Pass,Pass,Pass,Pass,N/A,Pass,Pass,Pass
693c5ce261121e0a15ec57cb,671725ffff36a50355a52513,APPROVED,Not Applicable,2025-12-12T18:20:22.852000Z,2025-12-12T18:37:08.314000Z,2025-12-13T10:56:18.391000Z,2025-12-12T18:37:08.690538Z,1006.0,CCPXUCJH,1950,49,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,N/A,Pass,Pass,Pass
693c5d022d24c0beed8b52ad,60fdca90f099eae5d18ad2ef,APPROVED,Not Applicable,2025-12-12T18:20:53.072000Z,2025-12-12T18:32:36.712000Z,2025-12-13T10:56:18.777000Z,2025-12-12T18:32:37.044999Z,704.0,CCPXUCJH,220,25,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,N/A,Pass,N/A,N/A,Pass,Pass,Pass,N/A,Pass,Pass,Pass,Pass,N/A,Pass,N/A,Pass,Pass,Pass
693c5d1edfa032ce2cf1036b,667bd5012a43ab2c51a565ce,APPROVED,Not Applicable,2025-12-12T18:21:28.791000Z,2025-12-12T18:41:52.668000Z,2025-12-13T10:56:19.192000Z,2025-12-12T18:41:53.011578Z,1224.0,CCPXUCJH,1186,29,Male,Mixed,United States,United States,United States,English,Yes,Other,Pass,Pass,Pass,Pass,N/A,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
693c5d26d14f04d23e647216,66734cd5a99b7d4c18928ded,APPROVED,Not Applicable,2025-12-12T18:21:31.366000Z,2025-12-12T18:32:52.534000Z,2025-12-13T10:56:19.605000Z,2025-12-12T18:32:52.903019Z,682.0,CCPXUCJH,1718,33,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,N/A,Pass,Pass,Pass
693c5d34f78ae4fe7b58d5ea,67acd1abc7d32f21a3f7e58e,APPROVED,Not Applicable,2025-12-12T18:21:45.100000Z,2025-12-12T18:39:29.702000Z,2025-12-13T10:56:20.020000Z,2025-12-12T18:39:30.058463Z,1065.0,CCPXUCJH,1088,29,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking),N/A,Pass,Pass,Pass,N/A,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,N/A,Pass,Pass,Pass
693c5d5d5c7b4b919214f005,6878cc2fb26170bbb45bfd45,APPROVED,Not Applicable,2025-12-12T18:22:27.255000Z,2025-12-12T18:35:03.528000Z,2025-12-13T10:56:20.413000Z,2025-12-12T18:35:03.856352Z,757.0,CCPXUCJH,148,35,Male,White,United States,United States,DATA_EXPIRED,English,No,Part-Time,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,N/A,Pass,Pass,Pass
